time;Time Code;country;Country Code;current_health_exp;gdpgrowth;gdppercap;lifeexp_total;lifeexp_male;lifeexp_female;urbanpop
2016;YR2016;Afghanistan;AFG;10,20;2,26;571,07;63,76;62,34;65,28;25,02
2016;YR2016;Albania;ALB;6,70;3,35;4683,74;78,19;76,35;80,13;58,42
2016;YR2016;Algeria;DZA;6,65;3,30;4834,23;76,30;75,12;77,52;71,46
2016;YR2016;American Samoa;ASM;..;-2,62;9589,98;..;..;..;87,20
2016;YR2016;Andorra;AND;10,37;1,89;42949,67;..;..;..;88,25
2016;YR2016;Angola;AGO;2,88;-2,58;3530,31;59,93;57,24;62,78;64,15
2016;YR2016;Antigua and Barbuda;ATG;4,31;5,59;14190,61;76,62;75,41;77,77;24,85
2016;YR2016;Argentina;ARG;7,55;-2,08;10239,48;76,22;72,77;79,58;91,63
2016;YR2016;Armenia;ARM;9,93;0,20;3917,38;74,64;71,02;77,95;63,08
2016;YR2016;Aruba;ABW;..;-0,21;24277,41;75,87;73,35;78,24;43,19
2016;YR2016;Australia;AUS;9,25;2,85;55875,10;82,45;80,40;84,60;85,80
2016;YR2016;Austria;AUT;10,44;2,04;48300,95;81,64;79,30;84,10;57,91
2016;YR2016;Azerbaijan;AZE;6,89;-3,06;5812,58;72,49;69,86;75,09;55,02
2016;YR2016;Bahamas, The;BHS;6,38;-1,69;27369,56;73,33;71,06;75,51;82,83
2016;YR2016;Bahrain;BHR;4,87;3,47;22336,76;76,90;76,06;78,00;89,09
2016;YR2016;Bangladesh;BGD;2,37;7,11;1062,04;71,79;70,19;73,66;35,08
2016;YR2016;Barbados;BRB;6,96;2,01;16472,31;78,89;77,45;80,23;31,19
2016;YR2016;Belarus;BLR;6,32;-2,53;6372,40;73,83;68,90;79,00;77,66
2016;YR2016;Belgium;BEL;10,04;1,45;45598,74;81,44;79,00;84,00;97,92
2016;YR2016;Belize;BLZ;6,12;-0,59;4287,31;74,22;71,50;77,20;45,50
2016;YR2016;Benin;BEN;3,86;3,96;837,22;60,89;59,36;62,38;46,23
2016;YR2016;Bermuda;BMU;..;..;..;81,23;77,51;85,13;100,00
2016;YR2016;Bhutan;BTN;3,45;8,02;3035,66;70,78;70,50;71,06;39,43
2016;YR2016;Bolivia;BOL;6,86;4,26;2425,56;70,63;67,90;73,51;68,74
2016;YR2016;Bosnia and Herzegovina;BIH;9,23;3,15;5591,03;77,00;74,50;79,44;47,52
2016;YR2016;Botswana;BWA;5,46;4,30;7797,15;68,18;65,22;70,89;67,93
2016;YR2016;Brazil;BRA;11,77;-3,31;10962,63;75,23;71,58;78,93;86,04
2016;YR2016;British Virgin Islands;VGB;..;..;..;..;..;..;46,96
2016;YR2016;Brunei Darussalam;BRN;2,34;-2,47;31685,23;75,45;74,31;76,68;76,99
2016;YR2016;Bulgaria;BGR;8,23;3,94;7966,88;74,81;71,30;78,50;74,33
2016;YR2016;Burkina Faso;BFA;6,75;5,93;664,02;60,35;59,59;60,99;28,13
2016;YR2016;Burundi;BDI;6,19;-0,60;219,96;60,53;58,73;62,30;12,39
2016;YR2016;Cabo Verde;CPV;5,24;4,71;3532,14;72,35;68,85;75,62;64,78
2016;YR2016;Cambodia;KHM;6,08;7,03;1079,63;68,98;66,79;70,98;22,58
2016;YR2016;Cameroon;CMR;4,69;4,65;1467,76;58,06;56,77;59,37;55,18
2016;YR2016;Canada;CAN;10,53;1,11;50263,83;82,14;80,15;84,23;81,30
2016;YR2016;Cayman Islands;CYM;..;3,10;..;..;..;..;100,00
2016;YR2016;Central African Republic;CAF;4,28;5,01;363,05;51,59;49,59;53,61;40,62
2016;YR2016;Chad;TCD;4,54;-6,26;868,21;53,44;52,04;54,86;22,68
2016;YR2016;Channel Islands;CHI;..;..;..;82,60;80,56;84,55;30,93
2016;YR2016;Chile;CHL;8,53;1,67;14771,26;79,78;77,11;82,29;87,42
2016;YR2016;China;CHN;4,98;6,74;6883,90;76,21;74,06;78,57;56,74
2016;YR2016;Colombia;COL;5,91;2,09;7626,00;76,73;73,91;79,52;80,11
2016;YR2016;Comoros;COM;7,63;2,19;1350,16;63,70;62,02;65,44;28,62
2016;YR2016;Congo, Dem. Rep.;COD;3,87;2,40;407,29;59,66;58,17;61,15;43,31
2016;YR2016;Congo, Rep.;COG;4,63;-2,80;2851,98;63,56;62,20;64,86;66,00
2016;YR2016;Costa Rica;CRI;7,56;4,25;9509,74;79,74;77,19;82,37;77,74
2016;YR2016;Cote d'Ivoire;CIV;4,40;7,97;1539,32;56,57;55,43;57,85;49,88
2016;YR2016;Croatia;HRV;7,18;3,54;14718,93;78,02;74,90;81,30;56,40
2016;YR2016;Cuba;CUB;12,19;0,51;6550,27;78,61;76,65;80,59;76,93
2016;YR2016;Curacao;CUW;..;-0,99;..;77,72;74,50;81,10;89,27
2016;YR2016;Cyprus;CYP;6,88;4,81;29081,82;80,51;78,36;82,67;66,88
2016;YR2016;Czech Republic;CZE;7,15;2,45;21863,64;79,03;76,10;82,10;73,57
2016;YR2016;Denmark;DNK;10,35;2,40;61370,78;80,85;79,00;82,80;87,64
2016;YR2016;Djibouti;DJI;3,50;8,72;..;65,06;63,25;67,11;77,53
2016;YR2016;Dominica;DMA;5,30;2,52;7086,78;..;..;..;69,88
2016;YR2016;Dominican Republic;DOM;6,16;6,61;7084,63;73,47;70,40;76,77;79,44
2016;YR2016;Ecuador;ECU;8,39;-1,23;5176,06;76,37;73,61;79,23;63,53
2016;YR2016;Egypt, Arab Rep.;EGY;4,64;4,35;2761,39;71,48;69,30;73,77;42,73
2016;YR2016;El Salvador;SLV;6,96;2,51;3381,23;72,64;67,79;77,19;70,50
2016;YR2016;Equatorial Guinea;GNQ;3,38;-8,82;12346,26;57,71;56,69;58,93;71,14
2016;YR2016;Eritrea;ERI;2,96;..;..;65,11;62,99;67,30;..
2016;YR2016;Estonia;EST;6,68;3,49;18387,77;77,64;73,30;82,20;68,56
2016;YR2016;Eswatini;SWZ;7,70;3,22;4795,79;56,96;53,15;61,21;23,46
2016;YR2016;Ethiopia;ETH;3,97;9,43;514,06;65,48;63,62;67,38;19,87
2016;YR2016;Faroe Islands;FRO;..;..;..;82,20;80,10;84,40;41,78
2016;YR2016;Fiji;FJI;3,46;2,65;4455,19;67,18;65,56;68,93;55,24
2016;YR2016;Finland;FIN;9,49;2,77;46438,82;81,43;78,60;84,40;85,28
2016;YR2016;France;FRA;11,54;1,10;42054,53;82,52;79,50;85,70;79,92
2016;YR2016;French Polynesia;PYF;..;..;..;77,02;74,92;79,34;61,73
2016;YR2016;Gabon;GAB;3,11;2,09;9419,86;65,42;63,55;67,35;88,56
2016;YR2016;Gambia, The;GMB;4,43;0,41;493,88;61,17;59,84;62,55;59,92
2016;YR2016;Georgia;GEO;8,44;2,85;4074,93;73,21;68,76;77,62;57,84
2016;YR2016;Germany;DEU;11,14;2,24;46167,83;80,99;78,60;83,50;77,22
2016;YR2016;Ghana;GHA;4,45;3,45;1643,45;63,12;62,13;64,13;54,75
2016;YR2016;Gibraltar;GIB;..;..;..;..;..;..;100,00
2016;YR2016;Greece;GRC;8,45;-0,19;22666,29;81,39;78,90;84,00;78,39
2016;YR2016;Greenland;GRL;..;5,96;47974,07;..;..;..;86,33
2016;YR2016;Grenada;GRD;5,25;3,74;8449,31;72,41;70,09;74,97;36,07
2016;YR2016;Guam;GUM;..;0,25;32046,04;79,39;76,18;82,89;94,62
2016;YR2016;Guatemala;GTM;5,82;3,09;3100,87;73,54;70,52;76,50;50,32
2016;YR2016;Guinea;GIN;5,48;10,83;809,96;60,17;59,55;60,59;35,46
2016;YR2016;Guinea-Bissau;GNB;6,09;6,26;594,98;57,33;55,20;59,33;42,53
2016;YR2016;Guyana;GUY;4,24;3,32;3793,04;69,45;66,39;72,72;26,48
2016;YR2016;Haiti;HTI;5,39;1,45;729,86;62,90;60,75;65,05;53,40
2016;YR2016;Honduras;HND;8,40;3,89;2096,57;74,70;72,37;77,02;55,81
2016;YR2016;Hong Kong SAR, China;HKG;..;2,18;36820,98;84,23;81,30;87,30;100,00
2016;YR2016;Hungary;HUN;7,36;2,28;15032,14;76,06;72,60;79,70;70,78
2016;YR2016;Iceland;ISL;8,29;7,35;50188,50;82,20;80,40;84,10;93,74
2016;YR2016;India;IND;3,66;8,17;1874,23;68,90;67,75;70,14;33,18
2016;YR2016;Indonesia;IDN;3,12;5,03;3968,06;71,04;68,91;73,26;53,99
2016;YR2016;Iran, Islamic Rep.;IRN;8,10;13,40;6794,29;76,05;75,01;77,19;73,88
2016;YR2016;Iraq;IRQ;3,31;13,57;5846,51;70,12;68,10;72,15;70,09
2016;YR2016;Ireland;IRL;7,38;3,68;67077,74;81,70;79,90;83,60;62,74
2016;YR2016;Isle of Man;IMN;..;7,40;87381,79;..;..;..;52,34
2016;YR2016;Israel;ISR;7,31;4,01;33839,83;82,41;80,70;84,20;92,26
2016;YR2016;Italy;ITA;8,94;1,12;34397,65;83,24;81,00;85,60;69,86
2016;YR2016;Jamaica;JAM;6,07;1,38;4753,71;74,18;72,64;75,77;55,10
2016;YR2016;Japan;JPN;10,93;0,61;47444,14;83,98;80,98;87,14;91,46
2016;YR2016;Jordan;JOR;5,47;2,00;3241,25;74,18;72,53;75,93;90,51
2016;YR2016;Kazakhstan;KAZ;3,53;1,10;10582,70;72,30;68,10;76,60;57,26
2016;YR2016;Kenya;KEN;4,55;5,88;1129,71;65,39;63,03;67,72;26,11
2016;YR2016;Kiribati;KIR;11,86;5,13;1772,93;67,58;63,47;71,64;52,45
2016;YR2016;Korea, Dem. People’s Rep.;PRK;..;..;..;71,71;68,06;75,12;61,47
2016;YR2016;Korea, Rep.;KOR;7,34;2,93;25484,04;82,28;79,30;85,40;81,56
2016;YR2016;Kosovo;XKX;..;4,06;3925,27;71,65;69,50;73,90;..
2016;YR2016;Kuwait;KWT;3,90;2,93;35887,10;75,22;74,50;76,27;100,00
2016;YR2016;Kyrgyz Republic;KGZ;6,63;4,30;1042,28;70,95;67,00;75,10;35,94
2016;YR2016;Lao PDR;LAO;2,36;7,02;1621,74;66,92;65,15;68,71;33,74
2016;YR2016;Latvia;LVA;6,24;2,06;14713,02;74,58;69,80;79,60;68,02
2016;YR2016;Lebanon;LBN;8,02;1,61;6330,42;78,80;77,00;80,76;88,27
2016;YR2016;Lesotho;LSO;8,08;3,18;1436,15;52,06;48,97;55,30;27,32
2016;YR2016;Liberia;LBR;9,62;-1,60;548,27;62,80;61,41;64,20;50,25
2016;YR2016;Libya;LBY;..;-2,80;5669,73;72,31;69,44;75,45;79,54
2016;YR2016;Liechtenstein;LIE;..;..;..;82,26;80,60;84,00;14,30
2016;YR2016;Lithuania;LTU;6,67;2,35;15944,63;74,67;69,50;80,10;67,37
2016;YR2016;Luxembourg;LUX;6,16;2,41;107479,51;82,69;80,10;85,40;90,46
2016;YR2016;Macao SAR, China;MAC;..;-0,86;52089,75;83,85;80,87;86,78;100,00
2016;YR2016;Madagascar;MDG;6,00;4,18;416,01;65,93;64,37;67,51;35,86
2016;YR2016;Malawi;MWI;9,83;2,48;506,25;62,68;59,59;65,78;16,51
2016;YR2016;Malaysia;MYS;3,80;4,22;11219,63;75,65;73,72;77,84;74,84
2016;YR2016;Maldives;MDV;10,61;7,29;7699,71;78,01;76,63;79,85;38,95
2016;YR2016;Mali;MLI;3,82;5,80;747,09;57,99;57,28;58,70;40,78
2016;YR2016;Malta;MLT;9,30;5,70;26510,07;82,45;80,60;84,40;94,48
2016;YR2016;Marshall Islands;MHL;23,29;1,91;3101,10;..;..;..;76,23
2016;YR2016;Mauritania;MRT;4,24;2,00;1336,99;64,21;62,55;65,82;51,96
2016;YR2016;Mauritius;MUS;5,75;3,84;9833,61;74,39;71,19;77,76;40,91
2016;YR2016;Mexico;MEX;5,47;2,92;10206,89;74,92;71,99;77,83;79,58
2016;YR2016;Micronesia, Fed. Sts.;FSM;12,56;0,70;2708,77;67,47;65,84;69,16;22,53
2016;YR2016;Moldova;MDA;8,98;4,41;2461,05;71,62;67,34;75,90;42,51
2016;YR2016;Monaco;MCO;1,75;3,21;193745,57;..;..;..;100,00
2016;YR2016;Mongolia;MNG;3,81;1,17;3866,24;69,32;65,29;73,59;68,30
2016;YR2016;Montenegro;MNE;7,64;2,95;7492,86;76,57;74,10;79,01;66,14
2016;YR2016;Morocco;MAR;5,84;1,13;3214,92;75,97;74,69;77,20;61,36
2016;YR2016;Mozambique;MOZ;5,07;3,76;533,46;58,31;55,34;61,06;34,93
2016;YR2016;Myanmar;MMR;5,09;5,86;1403,77;66,21;63,02;69,30;30,08
2016;YR2016;Namibia;NAM;9,12;1,12;6365,50;62,63;59,65;65,41;47,96
2016;YR2016;Nauru;NRU;11,10;10,40;9647,68;..;..;..;100,00
2016;YR2016;Nepal;NPL;6,29;0,59;729,66;69,85;68,42;71,26;18,94
2016;YR2016;Netherlands;NLD;10,36;2,19;52727,10;81,56;80,00;83,20;90,64
2016;YR2016;New Caledonia;NCL;..;..;..;76,96;74,22;79,84;69,82
2016;YR2016;New Zealand;NZL;9,22;3,65;37319,29;81,61;79,91;83,40;86,40
2016;YR2016;Nicaragua;NIC;8,75;4,56;1895,19;73,86;70,37;77,31;58,09
2016;YR2016;Niger;NER;6,23;4,93;389,99;61,14;60,03;62,31;16,29
2016;YR2016;Nigeria;NGA;3,65;-1,62;2456,31;53,54;52,70;54,42;48,68
2016;YR2016;North Macedonia;MKD;6,34;2,85;5247,25;75,50;73,49;77,55;57,56
2016;YR2016;Northern Mariana Islands;MNP;..;28,22;18595,54;..;..;..;91,44
2016;YR2016;Norway;NOR;10,50;1,19;90402,60;82,41;80,70;84,20;81,49
2016;YR2016;Oman;OMN;4,29;4,98;16692,26;77,14;75,39;79,66;82,50
2016;YR2016;Pakistan;PAK;2,75;5,53;1119,04;66,77;65,87;67,74;36,23
2016;YR2016;Palau;PLW;11,69;0,53;12825,29;..;..;..;78,78
2016;YR2016;Panama;PAN;7,26;4,97;11108,59;77,96;74,89;81,21;67,03
2016;YR2016;Papua New Guinea;PNG;1,98;4,10;2448,71;63,74;62,51;65,07;13,05
2016;YR2016;Paraguay;PRY;8,02;4,31;5089,61;73,84;71,91;75,90;61,03
2016;YR2016;Peru;PER;5,14;3,96;6262,73;76,04;73,39;78,76;77,54
2016;YR2016;Philippines;PHL;4,39;6,88;2743,20;70,80;66,81;75,14;46,48
2016;YR2016;Poland;POL;6,52;3,06;15101,36;77,85;73,90;82,00;60,18
2016;YR2016;Portugal;PRT;9,08;1,93;22511,73;81,12;78,10;84,30;64,09
2016;YR2016;Puerto Rico;PRI;..;-1,26;27703,52;79,49;76,01;83,15;93,60
2016;YR2016;Qatar;QAT;3,08;2,13;64303,19;79,87;78,69;81,61;99,02
2016;YR2016;Romania;ROU;4,98;4,80;10236,86;75,31;71,70;79,10;53,90
2016;YR2016;Russian Federation;RUS;5,27;0,33;11298,48;71,65;66,50;77,06;74,16
2016;YR2016;Rwanda;RWA;6,76;5,98;755,87;67,93;65,81;69,95;17,06
2016;YR2016;Samoa;WSM;5,53;7,17;3795,38;72,90;70,90;75,05;18,68
2016;YR2016;San Marino;SMR;6,40;2,20;52811,28;..;..;..;96,91
2016;YR2016;Sao Tome and Principe;STP;5,99;4,17;1263,37;69,67;67,32;72,05;71,09
2016;YR2016;Saudi Arabia;SAU;5,74;1,67;21270,47;74,76;73,55;76,37;83,40
2016;YR2016;Senegal;SEN;5,51;6,36;1430,36;67,08;64,97;69,00;46,30
2016;YR2016;Serbia;SRB;9,14;3,34;6394,46;75,69;73,20;78,30;55,81
2016;YR2016;Seychelles;SYC;3,94;4,50;13598,34;74,31;68,70;80,20;55,83
2016;YR2016;Sierra Leone;SLE;16,53;6,06;457,83;53,44;52,59;54,26;41,23
2016;YR2016;Singapore;SGP;4,47;2,96;54764,86;82,85;80,70;85,10;100,00
2016;YR2016;Sint Maarten (Dutch part);SXM;..;0,43;..;..;..;..;100,00
2016;YR2016;Slovak Republic;SVK;7,13;3,13;19298,07;77,17;73,80;80,70;53,81
2016;YR2016;Slovenia;SVN;8,47;3,07;24445,56;81,18;78,20;84,30;54,02
2016;YR2016;Solomon Islands;SLB;5,17;3,46;1454,32;72,42;70,78;74,29;22,82
2016;YR2016;Somalia;SOM;..;..;..;56,32;54,70;58,02;43,82
2016;YR2016;South Africa;ZAF;8,11;0,57;7495,35;63,15;59,80;66,65;65,34
2016;YR2016;South Sudan;SSD;..;-11,18;691,69;57,12;55,64;58,64;19,09
2016;YR2016;Spain;ESP;8,97;3,17;31539,51;83,33;80,50;86,30;79,84
2016;YR2016;Sri Lanka;LKA;3,89;4,49;3769,16;76,48;73,06;79,84;18,31
2016;YR2016;St. Kitts and Nevis;KNA;5,67;2,32;17557,22;..;..;..;30,79
2016;YR2016;St. Lucia;LCA;5,31;3,89;8238,02;75,75;74,44;77,13;18,56
2016;YR2016;St. Martin (French part);MAF;..;..;..;79,62;76,50;82,90;..
2016;YR2016;St. Vincent and the Grenadines;VCT;3,56;1,98;6692,51;72,19;69,97;74,79;51,37
2016;YR2016;Sudan;SDN;5,66;4,70;1911,03;64,66;62,90;66,46;34,12
2016;YR2016;Suriname;SUR;6,06;-5,56;7912,62;71,36;68,18;74,70;66,04
2016;YR2016;Sweden;SWE;10,93;2,68;56195,88;82,31;80,60;84,10;86,85
2016;YR2016;Switzerland;CHE;12,25;1,60;76934,32;83,60;81,70;85,60;73,74
2016;YR2016;Syrian Arab Republic;SYR;..;..;..;70,32;64,51;77,08;52,84
2016;YR2016;Tajikistan;TJK;7,00;6,87;976,14;70,40;68,23;72,74;26,85
2016;YR2016;Tanzania;TZA;4,14;6,87;904,38;63,84;61,88;65,79;32,33
2016;YR2016;Thailand;THA;3,71;3,36;5911,95;76,40;72,70;80,19;48,45
2016;YR2016;Timor-Leste;TLS;4,02;0,71;3072,42;68,74;66,82;70,78;29,85
2016;YR2016;Togo;TGO;6,62;4,92;644,86;60,22;59,40;61,02;40,63
2016;YR2016;Tonga;TON;5,26;3,38;4016,87;70,61;68,70;72,54;23,22
2016;YR2016;Trinidad and Tobago;TTO;6,51;-6,51;15614,83;73,10;70,47;75,81;53,25
2016;YR2016;Tunisia;TUN;6,95;1,26;4314,95;76,12;74,10;78,17;68,35
2016;YR2016;Turkey;TUR;4,31;3,18;14062,73;76,86;73,83;79,82;74,13
2016;YR2016;Turkmenistan;TKM;6,62;6,20;6987,07;67,84;64,40;71,31;50,73
2016;YR2016;Turks and Caicos Islands;TCA;..;4,40;..;..;..;..;92,52
2016;YR2016;Tuvalu;TUV;15,45;3,03;3493,77;..;..;..;60,65
2016;YR2016;Uganda;UGA;6,17;4,78;694,01;61,99;59,83;64,02;22,62
2016;YR2016;Ukraine;UKR;6,73;2,44;2909,65;71,48;66,73;76,46;69,15
2016;YR2016;United Arab Emirates;ARE;3,52;2,99;41045,11;77,47;76,79;78,85;85,97
2016;YR2016;United Kingdom;GBR;9,76;1,79;42201,64;81,16;79,40;83,00;82,89
2016;YR2016;United States;USA;17,07;1,57;52534,37;78,54;76,10;81,10;81,86
2016;YR2016;Uruguay;URY;9,06;1,69;14124,14;77,50;73,66;81,12;95,14
2016;YR2016;Uzbekistan;UZB;6,34;6,09;1909,44;71,17;69,00;73,33;50,65
2016;YR2016;Vanuatu;VUT;3,69;4,00;2791,84;70,02;68,54;71,67;25,06
2016;YR2016;Venezuela, RB;VEN;3,22;..;..;72,41;68,69;76,35;88,17
2016;YR2016;Vietnam;VNM;5,66;6,21;1752,53;75,17;71,05;79,29;34,51
2016;YR2016;Virgin Islands (U.S.);VIR;..;0,90;29729,22;79,27;76,00;82,70;95,48
2016;YR2016;West Bank and Gaza;PSE;..;4,71;2694,52;73,59;71,95;75,31;75,63
2016;YR2016;Yemen, Rep.;YEM;..;-13,62;765,60;66,09;64,42;67,79;35,39
2016;YR2016;Zambia;ZMB;4,48;3,76;1652,28;62,46;59,70;65,17;42,44
2016;YR2016;Zimbabwe;ZWE;9,41;0,76;1224,31;60,29;58,57;61,72;32,30
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Data from database: World Development Indicators;;;;;;;;;;
Last Updated: 09/19/2019;;;;;;;;;;